状态,下单槽倒计时,槽Unix,市场,方向,入场价分,份数,扣款USD,策略,下单时间,结算时间,盈亏USD,平仓价分,浮动pct
止盈,01:09,1780212900,"Solana Up or Down - May 31, 3:35AM-3:40AM ET",UP,96,5.1546,5.0091,consensus90,2026/5/31 15:38:50,2026/5/31 15:39:42,+0.0940,99,+1.88
止盈,01:09,1780212900,"XRP Up or Down - May 31, 3:35AM-3:40AM ET",UP,97,5.1020,5.0038,consensus90,2026/5/31 15:38:50,2026/5/31 15:39:42,+0.0472,99,+0.94
止盈,01:07,1780212900,"Dogecoin Up or Down - May 31, 3:35AM-3:40AM ET",UP,97,5.1020,5.0055,consensus90,2026/5/31 15:38:52,2026/5/31 15:39:42,+0.0455,99,+0.91
止损,01:09,1780212900,"Bitcoin Up or Down - May 31, 3:35AM-3:40AM ET",UP,81,6.0975,5.0627,consensus90,2026/5/31 15:38:50,2026/5/31 15:39:42,-2.8371,37,-56.04
止盈,02:05,1780212600,"Bitcoin Up or Down - May 31, 3:30AM-3:35AM ET",DOWN,75,6.6666,5.0851,consensus90,2026/5/31 15:32:54,2026/5/31 15:33:14,+0.4815,84,+9.47
止盈,02:08,1780212600,"Hyperliquid Up or Down - May 31, 3:30AM-3:35AM E",DOWN,96,5.1546,5.0091,consensus90,2026/5/31 15:32:51,2026/5/31 15:33:09,+0.0424,98,+0.85
止盈,02:08,1780212600,"XRP Up or Down - May 31, 3:30AM-3:35AM ET",DOWN,85,5.8139,5.0469,consensus90,2026/5/31 15:32:51,2026/5/31 15:32:51,+0.3600,93,+7.13
止盈,02:08,1780212600,"Dogecoin Up or Down - May 31, 3:30AM-3:35AM ET",DOWN,86,5.7471,5.0433,consensus90,2026/5/31 15:32:51,2026/5/31 15:32:51,+0.3877,95,+7.69
止盈,02:08,1780212600,"Solana Up or Down - May 31, 3:30AM-3:35AM ET",DOWN,88,5.6179,5.0377,consensus90,2026/5/31 15:32:51,2026/5/31 15:32:51,+0.3555,96,+7.06
止盈,02:08,1780212600,"Ethereum Up or Down - May 31, 3:30AM-3:35AM ET",DOWN,89,5.5555,5.0342,consensus90,2026/5/31 15:32:51,2026/5/31 15:32:51,+0.3825,98,+7.60
